Rank,Feature,Mask_Value
1,Global_Cos_Angle,0.5083269
2,6.52_Global_Max,0.48752475
3,6.52_Global_Norm,0.48449093
4,6.51_Global_Sum,0.47716075
5,6.52_Global_Sum,0.47688466
6,Lig_H6_Orientation,0.47391552
7,6.51_Global_Norm,0.47165847
8,6.51_Global_Max,0.46886972
9,Atom4_6.52_Angle,0.38687196
10,Atom7_6.52_Angle,0.38687196
11,Atom2_6.52_Angle,0.38687196
12,Atom0_6.52_Angle,0.38687196
13,Atom8_6.52_Angle,0.38687196
14,Atom6_6.52_Angle,0.38687196
15,Atom5_6.52_Angle,0.38687196
16,Atom1_6.52_Angle,0.38687196
17,Atom3_6.52_Angle,0.38687196
18,Atom1_6.51_Angle,0.38425162
19,Atom6_6.51_Angle,0.38425162
20,Atom4_6.51_Angle,0.38425162
21,Atom5_6.51_Angle,0.38425162
22,Atom7_6.51_Angle,0.38425162
23,Atom3_6.51_Angle,0.38425162
24,Atom0_6.51_Angle,0.38425162
25,Atom8_6.51_Angle,0.38425162
26,Atom2_6.51_Angle,0.38425162
27,Atom0_6.51_Score,0.36224934
28,Atom3_6.51_Score,0.36224934
29,Atom1_6.51_Score,0.36224934
30,Atom4_6.51_Score,0.36224934
31,Atom2_6.51_Score,0.36224934
32,Atom5_6.51_Score,0.36224934
33,Atom8_6.51_Score,0.36224934
34,Atom6_6.51_Score,0.36224934
35,Atom7_6.51_Score,0.36224934
36,Atom4_6.52_Score,0.35881847
37,Atom2_6.52_Score,0.35881847
38,Atom8_6.52_Score,0.35881847
39,Atom1_6.52_Score,0.35881847
40,Atom7_6.52_Score,0.35881847
41,Atom0_6.52_Score,0.35881847
42,Atom6_6.52_Score,0.35881847
43,Atom3_6.52_Score,0.35881847
44,Atom5_6.52_Score,0.35881847
45,Atom3_6.52_Dist,0.35480124
46,Atom7_6.52_Dist,0.35480124
47,Atom5_6.52_Dist,0.35480124
48,Atom0_6.52_Dist,0.35480124
49,Atom2_6.52_Dist,0.35480124
50,Atom8_6.52_Dist,0.35480124
51,Atom6_6.52_Dist,0.35480124
52,Atom4_6.52_Dist,0.35480124
53,Atom1_6.52_Dist,0.35480124
54,Atom1_6.51_Dist,0.34022465
55,Atom5_6.51_Dist,0.34022465
56,Atom2_6.51_Dist,0.34022465
57,Atom3_6.51_Dist,0.34022465
58,Atom4_6.51_Dist,0.34022465
59,Atom6_6.51_Dist,0.34022465
60,Atom7_6.51_Dist,0.34022465
61,Atom8_6.51_Dist,0.34022465
62,Atom0_6.51_Dist,0.34022465
