Rank,Feature,Mask_Value
1,Lig_H6_Orientation,0.6792448
2,ELF_H6_Axis_Cos,0.67241144
3,ELF_Anisotropy,0.651202
4,Global_Cos_Angle,0.6344965
5,6.51_Global_Norm,0.6283678
6,Atom5_6.52_Dist,0.61363995
7,Atom0_6.52_Dist,0.61363995
8,Atom2_6.52_Dist,0.61363995
9,Atom3_6.52_Dist,0.61363995
10,Atom8_6.52_Dist,0.61363995
11,Atom4_6.52_Dist,0.61363995
12,Atom1_6.52_Dist,0.61363995
13,Atom7_6.52_Dist,0.61363995
14,Atom6_6.52_Dist,0.61363995
15,6.52_Global_Sum,0.60856533
16,6.52_Global_Max,0.59835166
17,6.51_Global_Sum,0.58649576
18,Atom7_6.52_Angle,0.57888174
19,Atom4_6.52_Angle,0.57888174
20,Atom3_6.52_Angle,0.57888174
21,Atom5_6.52_Angle,0.57888174
22,Atom6_6.52_Angle,0.57888174
23,Atom1_6.52_Angle,0.57888174
24,Atom2_6.52_Angle,0.57888174
25,Atom8_6.52_Angle,0.57888174
26,Atom0_6.52_Angle,0.57888174
27,6.51_Global_Max,0.5705307
28,6.52_Global_Norm,0.5694272
29,Atom3_6.51_Dist,0.5218094
30,Atom2_6.51_Dist,0.5218094
31,Atom5_6.51_Dist,0.5218094
32,Atom4_6.51_Dist,0.5218094
33,Atom1_6.51_Dist,0.5218094
34,Atom0_6.51_Dist,0.5218094
35,Atom6_6.51_Dist,0.5218094
36,Atom8_6.51_Dist,0.5218094
37,Atom7_6.51_Dist,0.5218094
38,Atom4_6.52_Score,0.5018768
39,Atom5_6.52_Score,0.5018768
40,Atom8_6.52_Score,0.5018768
41,Atom3_6.52_Score,0.5018768
42,Atom0_6.52_Score,0.5018768
43,Atom6_6.52_Score,0.5018768
44,Atom2_6.52_Score,0.5018768
45,Atom7_6.52_Score,0.5018768
46,Atom1_6.52_Score,0.5018768
47,Atom2_6.51_Angle,0.47575843
48,Atom0_6.51_Angle,0.47575843
49,Atom8_6.51_Angle,0.47575843
50,Atom1_6.51_Angle,0.47575843
51,Atom7_6.51_Angle,0.47575843
52,Atom3_6.51_Angle,0.47575843
53,Atom6_6.51_Angle,0.47575843
54,Atom4_6.51_Angle,0.47575843
55,Atom5_6.51_Angle,0.47575843
56,Atom7_6.51_Score,0.4745135
57,Atom4_6.51_Score,0.4745135
58,Atom1_6.51_Score,0.4745135
59,Atom2_6.51_Score,0.4745135
60,Atom6_6.51_Score,0.4745135
61,Atom3_6.51_Score,0.4745135
62,Atom0_6.51_Score,0.4745135
63,Atom8_6.51_Score,0.4745135
64,Atom5_6.51_Score,0.4745135
