Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,7.14285746216774,-0.54663354,Weaker,Weaker,1
BRE,0.0,-1.2058525,Weaker,Weaker,1
CAR,14.28571492433548,-0.52438235,Weaker,Weaker,1
LSD,28.57142984867096,-0.6803997,Weaker,Weaker,1
Lisu,46.42857015132904,-0.5266333,Weaker,Weaker,1
R10,80.35714030265808,-0.7619066,Weaker,Similar,0
ROT,85.71428656578064,-0.44037682,Weaker,Similar,0
S10,60.71428656578064,-1.1295842,Weaker,Weaker,1
S84,21.42857164144516,-1.2124639,Weaker,Weaker,1
UNC,78.57142686843872,-0.5923096,Weaker,Similar,0
