Feature,Mask_Value,Count
ELF_H6_Axis_Cos,0.6908978223800659,1
Lig_H6_Orientation,0.6641021966934204,1
6.51_Global_Norm,0.6559897065162659,1
6.51_Global_Max,0.6475434303283691,1
6.51_Global_Sum,0.6213541626930237,1
Delta_6.51_6.52_Global_Max,0.6065295338630676,1
6.52_Global_Norm,0.5994538068771362,1
ELF_Anisotropy,0.5919671058654785,1
Global_Cos_Angle,0.5864526033401489,1
6.52_Global_Sum,0.5843331813812256,1
6.52_Dist,0.5809959769248962,9
6.52_Global_Max,0.5637824535369873,1
Delta_6.51_6.52_Global_Norm,0.5471841096878052,1
6.52_Score,0.5259360074996948,9
6.51_Score,0.5225979089736938,9
Delta_6.51_6.52_Global_Sum,0.5212877988815308,1
6.51_Dist,0.511192262172699,9
6.52_Angle,0.5087941288948059,9
6.51_Angle,0.49256056547164917,9
