Time,Replica,Global_Angle,Dist_Phe389_Geo,Dist_Phe389_Weighted,AngDev_Phe389,Dist_Phe390_Geo,Dist_Phe390_Weighted,AngDev_Phe390,C1_Angle_to_Phe389,C2_Angle_to_Phe389,C3_Angle_to_Phe389,C4_Angle_to_Phe389,C5_Angle_to_Phe389,C6_Angle_to_Phe389,C1_Angle_to_Phe390,C2_Angle_to_Phe390,C3_Angle_to_Phe390,C4_Angle_to_Phe390,C5_Angle_to_Phe390,C6_Angle_to_Phe390,Dist_Res_114,Dist_Res_115,Dist_Res_118,Dist_Res_119,Dist_Res_190,Dist_Res_193,Dist_Res_194,Dist_Res_197,Dist_Res_386,Dist_Res_393,Dist_Res_412,Dist_Res_416
0.0,gromacs_replicate_3,68.214676,6.569446576131975,6.3674178776773935,6.1425247,5.256148491453416,5.4834817513294976,12.736816,84.49211187289494,72.20378018688882,64.16304934376852,68.03004204738318,78.05266689344027,86.57376889467466,75.39061398508873,79.36801069213814,88.42570025360934,77.24742732264451,80.8749095985143,85.0321534280416,7.017245022178954,4.586114525614941,7.371572923047078,6.9639431372582035,7.355693658910489,6.7974614643585545,6.25161746838568,7.235992557985693,10.317342761164452,8.696994463202268,9.8715317630644,11.670141808884546
100.0,gromacs_replicate_3,56.03655,6.002600849672826,6.137408227929709,22.967041,5.210151535356483,5.421031158390662,23.604958,63.594908841628325,77.02455815967889,86.35889486936446,83.44596535108522,72.38558428865485,61.72458814275491,75.36621767906539,78.5801602370311,89.66663314018784,78.01465888607014,81.86910801655375,84.25358272897765,6.864511936916843,4.624898900344087,7.114242429162818,7.214270171903025,7.063543805421212,6.9109916806325105,6.646737076103301,7.444951092395094,9.576883833292385,8.695473450978337,9.76854847971364,11.43809825730969
200.0,gromacs_replicate_3,83.77769,6.726670408594608,6.647680947217561,15.189873,5.081177165529097,5.293742223563515,21.241844,80.55442090114505,86.01902451113251,79.34156235505357,84.9454977311088,85.36639445422139,77.15276176835091,56.124955439712956,57.884726908775995,72.26503344240545,84.15265542370398,82.7492102445467,69.04484292930977,7.420556656019032,4.662071471313619,6.554259325911995,6.817427189114834,7.014002559338612,6.2880259611855305,6.005865042017735,6.984710548847172,10.370555567498144,8.908843480138394,10.356753113118678,11.88147496588731
300.0,gromacs_replicate_3,75.69172,6.257574858965589,6.2270697419934535,19.054764,5.312129120094046,5.426077302144278,5.2262115,84.0465074462753,82.28380939262844,77.22257016381505,82.3278679985998,87.55864041833173,79.0684193778112,62.70403910327808,65.99577204422496,79.5230151395015,89.16073519887458,88.55893552584642,73.84959054092249,7.263200179082741,4.789990340453852,7.113655170489549,7.062025330223961,6.979529806529223,6.761033660892803,6.187674590168542,7.369540261807404,10.215351925813628,8.693554741426839,9.96895001049058,11.620718281110207
400.0,gromacs_replicate_3,89.80416,6.697133889858967,6.550683220843753,7.6601944,5.36201168026751,5.579279916337442,19.054901,72.7898670480532,86.65929992905336,86.3282015265681,88.46533648526027,78.28897998876117,70.56369132159782,66.91239315129705,68.4406936622232,82.70064821003135,86.3698358772368,88.16281942686389,79.55534008306721,7.44135378975401,4.686401349965116,6.568067423104332,6.605436185320686,7.617836468740891,6.757584142291537,5.880379285930054,6.571405976379904,10.332771798418337,8.81123282410541,10.491247416523002,11.289052644122428
500.0,gromacs_replicate_3,57.74021,6.355155347536125,6.515239437849762,26.051476,5.591530583376497,5.42590380336973,9.112022,69.50844079802694,82.93725049157253,88.58306982567908,83.44558043719432,73.04217611079396,65.25636931961816,61.62211716658797,63.7572052479511,74.74535058858342,85.41604805280991,83.75596841348683,72.12647478119219,7.009683804103184,4.512169240599403,6.368728392954933,6.4357923180894625,7.069308281433046,6.788115626768075,6.464135940409818,7.497475240073201,9.8107957470693,9.007393396483627,10.096815692275865,11.72128449319152
600.0,gromacs_replicate_3,73.28598,5.943031283064486,5.938377757491129,18.077736,4.901924659705788,5.17377189235376,13.349602,83.38174778278051,82.93298159145316,75.21200025309547,80.32722185146343,88.53211102522465,80.28313839205416,75.4009835835814,82.30690385663674,83.91281663507796,73.26037790201839,79.64970322364057,83.76359981661322,6.872592973284739,4.263715626459897,6.836150260874082,7.144942303198416,7.435598293697491,7.098832776918885,6.447264727013536,7.029309974907285,9.550608306980978,8.395518842200138,9.586029888814704,11.287549258720514
700.0,gromacs_replicate_3,75.77585,6.789876690962686,6.758241063279403,8.712372,5.4713428577854115,5.620970948392865,2.3820953,79.5081120708106,87.1377853752475,81.68958658484222,88.00674859086415,81.62299022859615,74.42262418599091,70.02315411222851,73.20096872315901,87.61318006737436,82.23070688548698,87.12484744369353,80.14980453298129,7.280533487880285,4.578654912448321,7.110792155002737,6.748652072922044,7.766246162877299,6.86097025488851,6.225916905111052,7.215191306017311,10.884662020718865,8.557653884750659,10.736912399064076,12.080866179756205
800.0,gromacs_replicate_3,88.69708,6.812665678641457,6.6464546002418805,12.095802,5.1720049200479625,5.35069158962067,9.56913,89.53421733134313,77.74869359683385,73.08899675131266,78.6117395554617,88.67770831967796,84.55463921709415,73.29123384351661,78.59093868532429,86.26051851523917,76.90939341589183,81.97489546689901,83.35371228597245,7.362013412666483,4.519997972051575,6.758157491177835,6.603881218192515,7.08668444822515,6.572789574505338,5.894339691822346,6.82239398056942,10.037234546832474,8.778094561091155,10.428036061421025,11.496251080564814
900.0,gromacs_replicate_3,88.47793,6.981731364902503,6.150804932710388,1.290741,4.780997368224579,4.968649834285604,11.715202,53.624895592917014,43.287704440986374,36.84023608160346,39.57870898296553,47.795279719727354,54.87438689784639,70.27545621372396,73.14681240448948,88.90281161322304,79.52648166161944,82.21302660825454,83.69096608909727,7.421016653468033,5.0119317963868655,7.013940417549285,7.000446412888885,7.21804841980748,6.47207465246763,5.88185453008237,6.846381025095225,9.89654388535386,8.384634550989121,9.919909729200638,11.293761083324828
