Feature,Importance
Dist_Res_412,0.27345930624863485
Dist_Res_190,0.14776323102662636
Dist_Res_114,0.13445548355954956
Dist_Res_119,0.09842856168675221
AngDev_Phe389,0.09228751748198007
Dist_Res_386,0.08391155790347812
Dist_Phe389,0.07376729295846184
Dist_Res_118,0.06826968201688903
Dist_Res_115,0.06425987801120792
Dist_Res_194,0.060071212613625975
Dist_Res_193,0.0587551552245962
Dist_Res_393,0.05132311218510509
Dist_Res_416,0.05039903864927791
Dist_Res_197,0.03860281760173291
Global_Angle,0.03434515264840383
AngDev_Phe390,0.02469321549041713
Dist_Phe390,0.021193612349129726
C1_Weight,0.0
C2_Weight,0.0
C3_Weight,0.0
C4_Weight,0.0
C5_Weight,0.0
C6_Weight,0.0
