Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,7.14285746216774,-0.58468664,Weaker,Weaker,1
BRE,0.0,-0.71348625,Weaker,Weaker,1
CAR,14.28571492433548,-0.5613004,Weaker,Weaker,1
LSD,28.57142984867096,-0.63812655,Weaker,Weaker,1
Lisu,46.42857015132904,-0.8417631,Weaker,Weaker,1
R10,80.35714030265808,-0.7779433,Weaker,Similar,0
ROT,85.71428656578064,-0.5579267,Weaker,Similar,0
S10,60.71428656578064,-0.6410831,Weaker,Weaker,1
S84,21.42857164144516,-1.2070373,Weaker,Weaker,1
UNC,78.57142686843872,-0.66982543,Weaker,Similar,0
