Rank,Feature,Mask_Value
1,6.51_Global_Max,0.43663722
2,Global_Cos_Angle,0.42116112
3,6.52_Global_Max,0.4177522
4,6.52_Global_Norm,0.39238536
5,6.51_Global_Sum,0.38838747
6,Lig_H6_Orientation,0.38424683
7,6.51_Global_Norm,0.36789006
8,6.52_Global_Sum,0.36726677
9,Atom8_6.51_Score,0.34555447
10,Atom7_6.51_Score,0.34555447
11,Atom6_6.51_Score,0.34555447
12,Atom5_6.51_Score,0.34555447
13,Atom3_6.51_Score,0.34555447
14,Atom4_6.51_Score,0.34555447
15,Atom1_6.51_Score,0.34555447
16,Atom2_6.51_Score,0.34555447
17,Atom0_6.51_Score,0.34555447
18,Atom3_6.51_Angle,0.3055052
19,Atom6_6.51_Angle,0.3055052
20,Atom4_6.51_Angle,0.3055052
21,Atom1_6.51_Angle,0.3055052
22,Atom2_6.51_Angle,0.3055052
23,Atom5_6.51_Angle,0.3055052
24,Atom0_6.51_Angle,0.3055052
25,Atom7_6.51_Angle,0.3055052
26,Atom8_6.51_Angle,0.3055052
27,Atom7_6.52_Score,0.3043917
28,Atom5_6.52_Score,0.3043917
29,Atom6_6.52_Score,0.3043917
30,Atom8_6.52_Score,0.3043917
31,Atom2_6.52_Score,0.3043917
32,Atom1_6.52_Score,0.3043917
33,Atom3_6.52_Score,0.3043917
34,Atom0_6.52_Score,0.3043917
35,Atom4_6.52_Score,0.3043917
36,Atom0_6.52_Angle,0.2992752
37,Atom3_6.52_Angle,0.2992752
38,Atom1_6.52_Angle,0.2992752
39,Atom6_6.52_Angle,0.2992752
40,Atom8_6.52_Angle,0.2992752
41,Atom5_6.52_Angle,0.2992752
42,Atom2_6.52_Angle,0.2992752
43,Atom4_6.52_Angle,0.2992752
44,Atom7_6.52_Angle,0.2992752
45,Atom8_6.51_Dist,0.28933594
46,Atom6_6.51_Dist,0.28933594
47,Atom0_6.51_Dist,0.28933594
48,Atom1_6.51_Dist,0.28933594
49,Atom2_6.51_Dist,0.28933594
50,Atom3_6.51_Dist,0.28933594
51,Atom7_6.51_Dist,0.28933594
52,Atom5_6.51_Dist,0.28933594
53,Atom4_6.51_Dist,0.28933594
54,Atom8_6.52_Dist,0.28348088
55,Atom5_6.52_Dist,0.28348088
56,Atom6_6.52_Dist,0.28348088
57,Atom7_6.52_Dist,0.28348088
58,Atom4_6.52_Dist,0.28348088
59,Atom3_6.52_Dist,0.28348088
60,Atom2_6.52_Dist,0.28348088
61,Atom1_6.52_Dist,0.28348088
62,Atom0_6.52_Dist,0.28348088
