Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,56.300002336502075,-0.16884981,Weaker,Weaker,1
BRE,39.160001277923584,-0.41687962,Weaker,Weaker,1
CAR,57.70000219345093,-0.22715776,Weaker,Weaker,1
LSD,81.02999925613403,-0.2870315,Weaker,Similar,0
Lisu,91.78000092506409,-0.3573548,Weaker,Stronger/Equal,0
R10,103.1999945640564,-0.26217735,Weaker,Stronger/Equal,0
ROT,105.09999990463257,-0.041229416,Similar,Stronger/Equal,0
S10,95.71999907493591,-0.048693214,Similar,Stronger/Equal,0
S84,70.03999948501587,-0.3495151,Weaker,Similar,0
UNC,98.69999885559082,-0.23780495,Weaker,Stronger/Equal,0
