Rank,Feature,Mask_Value
1,Lig_H6_Orientation,0.59860957
2,Global_Cos_Angle,0.57597303
3,6.52_Global_Norm,0.5172224
4,Atom8_6.51_Angle,0.4976958
5,Atom6_6.51_Angle,0.4976958
6,Atom7_6.51_Angle,0.4976958
7,Atom2_6.51_Angle,0.4976958
8,Atom3_6.51_Angle,0.4976958
9,Atom0_6.51_Angle,0.4976958
10,Atom1_6.51_Angle,0.4976958
11,Atom4_6.51_Angle,0.4976958
12,Atom5_6.51_Angle,0.4976958
13,Atom7_6.51_Dist,0.47661018
14,Atom6_6.51_Dist,0.47661018
15,Atom4_6.51_Dist,0.47661018
16,Atom3_6.51_Dist,0.47661018
17,Atom8_6.51_Dist,0.47661018
18,Atom2_6.51_Dist,0.47661018
19,Atom1_6.51_Dist,0.47661018
20,Atom0_6.51_Dist,0.47661018
21,Atom5_6.51_Dist,0.47661018
22,6.51_Global_Sum,0.4714918
23,Atom3_6.51_Score,0.43919837
24,Atom4_6.51_Score,0.43919837
25,Atom1_6.51_Score,0.43919837
26,Atom2_6.51_Score,0.43919837
27,Atom8_6.51_Score,0.43919837
28,Atom6_6.51_Score,0.43919837
29,Atom5_6.51_Score,0.43919837
30,Atom7_6.51_Score,0.43919837
31,Atom0_6.51_Score,0.43919837
32,6.51_Global_Norm,0.43433642
33,Atom1_6.52_Dist,0.431269
34,Atom2_6.52_Dist,0.431269
35,Atom3_6.52_Dist,0.431269
36,Atom4_6.52_Dist,0.431269
37,Atom6_6.52_Dist,0.431269
38,Atom0_6.52_Dist,0.431269
39,Atom7_6.52_Dist,0.431269
40,Atom5_6.52_Dist,0.431269
41,Atom8_6.52_Dist,0.431269
42,Atom8_6.52_Angle,0.41524112
43,Atom6_6.52_Angle,0.41524112
44,Atom7_6.52_Angle,0.41524112
45,Atom4_6.52_Angle,0.41524112
46,Atom5_6.52_Angle,0.41524112
47,Atom0_6.52_Angle,0.41524112
48,Atom1_6.52_Angle,0.41524112
49,Atom2_6.52_Angle,0.41524112
50,Atom3_6.52_Angle,0.41524112
51,6.51_Global_Max,0.41130015
52,6.52_Global_Sum,0.4067577
53,Atom8_6.52_Score,0.4014076
54,Atom6_6.52_Score,0.4014076
55,Atom2_6.52_Score,0.4014076
56,Atom5_6.52_Score,0.4014076
57,Atom7_6.52_Score,0.4014076
58,Atom4_6.52_Score,0.4014076
59,Atom1_6.52_Score,0.4014076
60,Atom3_6.52_Score,0.4014076
61,Atom0_6.52_Score,0.4014076
62,6.52_Global_Max,0.3794051
