Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,7.14285746216774,-0.19176409,Weaker,Weaker,1
BRE,0.0,-0.5032678,Weaker,Weaker,1
CAR,14.28571492433548,-0.23269904,Weaker,Weaker,1
LSD,28.57142984867096,-0.2183516,Weaker,Weaker,1
Lisu,46.42857015132904,-0.26312965,Weaker,Weaker,1
R10,80.35714030265808,-0.27309692,Weaker,Similar,0
ROT,85.71428656578064,-0.13167474,Weaker,Similar,0
S10,60.71428656578064,-0.31610656,Weaker,Weaker,1
S84,21.42857164144516,-0.69955593,Weaker,Weaker,1
UNC,78.57142686843872,-0.2129349,Weaker,Similar,0
