Rank,Feature,Mask_Value
1,6.51_Global_Max,0.4477333
2,Global_Cos_Angle,0.41183403
3,6.51_Global_Sum,0.4117426
4,6.52_Global_Max,0.40041548
5,6.52_Global_Norm,0.3790242
6,Lig_H6_Orientation,0.37848005
7,6.52_Global_Sum,0.36692888
8,6.51_Global_Norm,0.35437566
9,Atom8_6.51_Angle,0.32453102
10,Atom7_6.51_Angle,0.32453102
11,Atom6_6.51_Angle,0.32453102
12,Atom3_6.51_Angle,0.32453102
13,Atom4_6.51_Angle,0.32453102
14,Atom5_6.51_Angle,0.32453102
15,Atom2_6.51_Angle,0.32453102
16,Atom1_6.51_Angle,0.32453102
17,Atom0_6.51_Angle,0.32453102
18,Atom3_6.51_Score,0.32384673
19,Atom5_6.51_Score,0.32384673
20,Atom0_6.51_Score,0.32384673
21,Atom2_6.51_Score,0.32384673
22,Atom1_6.51_Score,0.32384673
23,Atom4_6.51_Score,0.32384673
24,Atom6_6.51_Score,0.32384673
25,Atom7_6.51_Score,0.32384673
26,Atom8_6.51_Score,0.32384673
27,Atom7_6.52_Angle,0.30532753
28,Atom5_6.52_Angle,0.30532753
29,Atom6_6.52_Angle,0.30532753
30,Atom8_6.52_Angle,0.30532753
31,Atom2_6.52_Angle,0.30532753
32,Atom1_6.52_Angle,0.30532753
33,Atom3_6.52_Angle,0.30532753
34,Atom0_6.52_Angle,0.30532753
35,Atom4_6.52_Angle,0.30532753
36,Atom0_6.52_Score,0.2999755
37,Atom3_6.52_Score,0.2999755
38,Atom1_6.52_Score,0.2999755
39,Atom6_6.52_Score,0.2999755
40,Atom8_6.52_Score,0.2999755
41,Atom5_6.52_Score,0.2999755
42,Atom2_6.52_Score,0.2999755
43,Atom4_6.52_Score,0.2999755
44,Atom7_6.52_Score,0.2999755
45,Atom8_6.52_Dist,0.29115003
46,Atom5_6.52_Dist,0.29115003
47,Atom0_6.52_Dist,0.29115003
48,Atom1_6.52_Dist,0.29115003
49,Atom2_6.52_Dist,0.29115003
50,Atom6_6.52_Dist,0.29115003
51,Atom7_6.52_Dist,0.29115003
52,Atom4_6.52_Dist,0.29115003
53,Atom3_6.52_Dist,0.29115003
54,Atom8_6.51_Dist,0.28348508
55,Atom6_6.51_Dist,0.28348508
56,Atom7_6.51_Dist,0.28348508
57,Atom5_6.51_Dist,0.28348508
58,Atom4_6.51_Dist,0.28348508
59,Atom3_6.51_Dist,0.28348508
60,Atom2_6.51_Dist,0.28348508
61,Atom1_6.51_Dist,0.28348508
62,Atom0_6.51_Dist,0.28348508
