Rank,Feature,Mask_Value
1,Unknown_Feat_62,0.6713357
2,6.51_Global_Max,0.6304463
3,6.52_Global_Max,0.6246892
4,Unknown_Feat_63,0.61108184
5,6.51_Global_Norm,0.6106162
6,Lig_H6_Orientation,0.5994177
7,Global_Cos_Angle,0.5831507
8,Atom7_6.52_Angle,0.58129317
9,Atom2_6.52_Angle,0.58129317
10,Atom5_6.52_Angle,0.58129317
11,Atom4_6.52_Angle,0.58129317
12,Atom3_6.52_Angle,0.58129317
13,Atom6_6.52_Angle,0.58129317
14,Atom1_6.52_Angle,0.58129317
15,Atom0_6.52_Angle,0.58129317
16,Atom8_6.52_Angle,0.58129317
17,Atom3_6.52_Dist,0.57783836
18,Atom5_6.52_Dist,0.57783836
19,Atom0_6.52_Dist,0.57783836
20,Atom7_6.52_Dist,0.57783836
21,Atom2_6.52_Dist,0.57783836
22,Atom8_6.52_Dist,0.57783836
23,Atom4_6.52_Dist,0.57783836
24,Atom1_6.52_Dist,0.57783836
25,Atom6_6.52_Dist,0.57783836
26,6.51_Global_Sum,0.5630077
27,6.52_Global_Norm,0.5626628
28,6.52_Global_Sum,0.5538143
29,Atom4_6.51_Dist,0.5126926
30,Atom3_6.51_Dist,0.5126926
31,Atom2_6.51_Dist,0.5126926
32,Atom5_6.51_Dist,0.5126926
33,Atom1_6.51_Dist,0.5126926
34,Atom0_6.51_Dist,0.5126926
35,Atom6_6.51_Dist,0.5126926
36,Atom8_6.51_Dist,0.5126926
37,Atom7_6.51_Dist,0.5126926
38,Atom7_6.51_Angle,0.507675
39,Atom3_6.51_Angle,0.507675
40,Atom0_6.51_Angle,0.507675
41,Atom8_6.51_Angle,0.507675
42,Atom1_6.51_Angle,0.507675
43,Atom2_6.51_Angle,0.507675
44,Atom5_6.51_Angle,0.507675
45,Atom6_6.51_Angle,0.507675
46,Atom4_6.51_Angle,0.507675
47,Atom7_6.52_Score,0.48360932
48,Atom6_6.52_Score,0.48360932
49,Atom8_6.52_Score,0.48360932
50,Atom0_6.52_Score,0.48360932
51,Atom5_6.52_Score,0.48360932
52,Atom3_6.52_Score,0.48360932
53,Atom4_6.52_Score,0.48360932
54,Atom1_6.52_Score,0.48360932
55,Atom2_6.52_Score,0.48360932
56,Atom1_6.51_Score,0.45954943
57,Atom7_6.51_Score,0.45954943
58,Atom3_6.51_Score,0.45954943
59,Atom4_6.51_Score,0.45954943
60,Atom2_6.51_Score,0.45954943
61,Atom0_6.51_Score,0.45954943
62,Atom8_6.51_Score,0.45954943
63,Atom5_6.51_Score,0.45954943
64,Atom6_6.51_Score,0.45954943
