Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,7.14285746216774,-0.5874972,Weaker,Weaker,1
BRE,0.0,-0.7530602,Weaker,Weaker,1
CAR,14.28571492433548,-0.45106852,Weaker,Weaker,1
LSD,28.57142984867096,-0.78174275,Weaker,Weaker,1
Lisu,46.42857015132904,-0.74083835,Weaker,Weaker,1
R10,80.35714030265808,-0.86598396,Weaker,Similar,0
ROT,85.71428656578064,-0.34935915,Weaker,Similar,0
S10,60.71428656578064,-1.0404273,Weaker,Weaker,1
S84,21.42857164144516,-1.1047513,Weaker,Weaker,1
UNC,78.57142686843872,-0.52326787,Weaker,Similar,0
