Rank,Feature,Mask_Value
1,6.51_Global_Max,0.66323835
2,6.52_Global_Norm,0.65922016
3,6.52_Global_Max,0.6542913
4,6.51_Global_Norm,0.65064615
5,Global_Cos_Angle,0.6501092
6,6.51_Global_Sum,0.64879376
7,6.52_Global_Sum,0.64836055
8,Lig_H6_Orientation,0.6480992
9,Atom0_6.51_Angle,0.63536966
10,Atom5_6.51_Angle,0.63536966
11,Atom7_6.51_Angle,0.63536966
12,Atom4_6.51_Angle,0.63536966
13,Atom3_6.51_Angle,0.63536966
14,Atom8_6.51_Angle,0.63536966
15,Atom6_6.51_Angle,0.63536966
16,Atom2_6.51_Angle,0.63536966
17,Atom1_6.51_Angle,0.63536966
18,Atom3_6.51_Score,0.6321622
19,Atom0_6.51_Score,0.6321622
20,Atom4_6.51_Score,0.6321622
21,Atom2_6.51_Score,0.6321622
22,Atom1_6.51_Score,0.6321622
23,Atom5_6.51_Score,0.6321622
24,Atom7_6.51_Score,0.6321622
25,Atom6_6.51_Score,0.6321622
26,Atom8_6.51_Score,0.6321622
27,Atom4_6.52_Angle,0.6108224
28,Atom0_6.52_Angle,0.6108224
29,Atom5_6.52_Angle,0.6108224
30,Atom1_6.52_Angle,0.6108224
31,Atom2_6.52_Angle,0.6108224
32,Atom3_6.52_Angle,0.6108224
33,Atom6_6.52_Angle,0.6108224
34,Atom8_6.52_Angle,0.6108224
35,Atom7_6.52_Angle,0.6108224
36,Atom0_6.52_Score,0.6085955
37,Atom7_6.52_Score,0.6085955
38,Atom3_6.52_Score,0.6085955
39,Atom1_6.52_Score,0.6085955
40,Atom4_6.52_Score,0.6085955
41,Atom8_6.52_Score,0.6085955
42,Atom6_6.52_Score,0.6085955
43,Atom5_6.52_Score,0.6085955
44,Atom2_6.52_Score,0.6085955
45,Atom2_6.52_Dist,0.6008665
46,Atom6_6.52_Dist,0.6008665
47,Atom8_6.52_Dist,0.6008665
48,Atom3_6.52_Dist,0.6008665
49,Atom4_6.52_Dist,0.6008665
50,Atom7_6.52_Dist,0.6008665
51,Atom0_6.52_Dist,0.6008665
52,Atom5_6.52_Dist,0.6008665
53,Atom1_6.52_Dist,0.6008665
54,Atom1_6.51_Dist,0.59507465
55,Atom5_6.51_Dist,0.59507465
56,Atom2_6.51_Dist,0.59507465
57,Atom3_6.51_Dist,0.59507465
58,Atom4_6.51_Dist,0.59507465
59,Atom6_6.51_Dist,0.59507465
60,Atom7_6.51_Dist,0.59507465
61,Atom8_6.51_Dist,0.59507465
62,Atom0_6.51_Dist,0.59507465
