Rank,Feature,Mask_Value
1,6.51_Global_Max,0.46249568
2,Global_Cos_Angle,0.43307513
3,6.52_Global_Max,0.41017786
4,6.52_Global_Norm,0.39594635
5,Lig_H6_Orientation,0.38956505
6,6.51_Global_Sum,0.38512394
7,Atom8_6.51_Score,0.3739021
8,Atom5_6.51_Score,0.3739021
9,Atom6_6.51_Score,0.3739021
10,Atom7_6.51_Score,0.3739021
11,Atom1_6.51_Score,0.3739021
12,Atom2_6.51_Score,0.3739021
13,Atom3_6.51_Score,0.3739021
14,Atom4_6.51_Score,0.3739021
15,Atom0_6.51_Score,0.3739021
16,6.52_Global_Sum,0.37120652
17,6.51_Global_Norm,0.36328542
18,Atom2_6.52_Score,0.3289043
19,Atom5_6.52_Score,0.3289043
20,Atom7_6.52_Score,0.3289043
21,Atom0_6.52_Score,0.3289043
22,Atom1_6.52_Score,0.3289043
23,Atom4_6.52_Score,0.3289043
24,Atom3_6.52_Score,0.3289043
25,Atom6_6.52_Score,0.3289043
26,Atom8_6.52_Score,0.3289043
27,Atom5_6.52_Angle,0.32593524
28,Atom6_6.52_Angle,0.32593524
29,Atom7_6.52_Angle,0.32593524
30,Atom8_6.52_Angle,0.32593524
31,Atom4_6.52_Angle,0.32593524
32,Atom1_6.52_Angle,0.32593524
33,Atom0_6.52_Angle,0.32593524
34,Atom2_6.52_Angle,0.32593524
35,Atom3_6.52_Angle,0.32593524
36,Atom1_6.51_Angle,0.3150323
37,Atom0_6.51_Angle,0.3150323
38,Atom7_6.51_Angle,0.3150323
39,Atom6_6.51_Angle,0.3150323
40,Atom8_6.51_Angle,0.3150323
41,Atom3_6.51_Angle,0.3150323
42,Atom2_6.51_Angle,0.3150323
43,Atom4_6.51_Angle,0.3150323
44,Atom5_6.51_Angle,0.3150323
45,Atom8_6.52_Dist,0.30431092
46,Atom5_6.52_Dist,0.30431092
47,Atom0_6.52_Dist,0.30431092
48,Atom1_6.52_Dist,0.30431092
49,Atom2_6.52_Dist,0.30431092
50,Atom6_6.52_Dist,0.30431092
51,Atom7_6.52_Dist,0.30431092
52,Atom4_6.52_Dist,0.30431092
53,Atom3_6.52_Dist,0.30431092
54,Atom8_6.51_Dist,0.28703326
55,Atom6_6.51_Dist,0.28703326
56,Atom7_6.51_Dist,0.28703326
57,Atom5_6.51_Dist,0.28703326
58,Atom4_6.51_Dist,0.28703326
59,Atom3_6.51_Dist,0.28703326
60,Atom2_6.51_Dist,0.28703326
61,Atom1_6.51_Dist,0.28703326
62,Atom0_6.51_Dist,0.28703326
