Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,8.066999912261963,-0.22527899,Weaker,Weaker,1
BRE,0.6914000026881695,-0.36636356,Weaker,Weaker,1
CAR,5.59299997985363,-0.229014,Weaker,Weaker,1
LSD,9.148000180721283,-0.30941522,Weaker,Weaker,1
Lisu,14.830000698566437,-0.23862287,Weaker,Weaker,1
R10,43.48999857902527,-0.19657966,Weaker,Weaker,1
ROT,51.590001583099365,-0.13384578,Weaker,Weaker,1
S10,27.20000147819519,-0.2553079,Weaker,Weaker,1
S84,6.898000091314316,-0.5164681,Weaker,Weaker,1
UNC,43.070000410079956,-0.18740922,Weaker,Weaker,1
