Rank,Feature,Mask_Value
1,6.51_Global_Max,0.44623128
2,6.52_Global_Max,0.4154369
3,Global_Cos_Angle,0.39949736
4,Atom5_6.51_Score,0.3983405
5,Atom3_6.51_Score,0.3983405
6,Atom6_6.51_Score,0.3983405
7,Atom1_6.51_Score,0.3983405
8,Atom8_6.51_Score,0.3983405
9,Atom4_6.51_Score,0.3983405
10,Atom2_6.51_Score,0.3983405
11,Atom0_6.51_Score,0.3983405
12,Atom7_6.51_Score,0.3983405
13,6.51_Global_Sum,0.39791852
14,Atom5_6.51_Angle,0.3904256
15,Atom4_6.51_Angle,0.3904256
16,Atom7_6.51_Angle,0.3904256
17,Atom8_6.51_Angle,0.3904256
18,Atom3_6.51_Angle,0.3904256
19,Atom0_6.51_Angle,0.3904256
20,Atom1_6.51_Angle,0.3904256
21,Atom2_6.51_Angle,0.3904256
22,Atom6_6.51_Angle,0.3904256
23,6.52_Global_Norm,0.38772598
24,6.52_Global_Sum,0.3756064
25,6.51_Global_Norm,0.3743764
26,Lig_H6_Orientation,0.3703304
27,Atom5_6.52_Score,0.34075946
28,Atom8_6.52_Score,0.34075946
29,Atom1_6.52_Score,0.34075946
30,Atom4_6.52_Score,0.34075946
31,Atom6_6.52_Score,0.34075946
32,Atom2_6.52_Score,0.34075946
33,Atom0_6.52_Score,0.34075946
34,Atom7_6.52_Score,0.34075946
35,Atom3_6.52_Score,0.34075946
36,Atom0_6.52_Angle,0.33293286
37,Atom1_6.52_Angle,0.33293286
38,Atom8_6.52_Angle,0.33293286
39,Atom2_6.52_Angle,0.33293286
40,Atom3_6.52_Angle,0.33293286
41,Atom7_6.52_Angle,0.33293286
42,Atom4_6.52_Angle,0.33293286
43,Atom6_6.52_Angle,0.33293286
44,Atom5_6.52_Angle,0.33293286
45,Atom3_6.52_Dist,0.30915928
46,Atom7_6.52_Dist,0.30915928
47,Atom0_6.52_Dist,0.30915928
48,Atom4_6.52_Dist,0.30915928
49,Atom8_6.52_Dist,0.30915928
50,Atom2_6.52_Dist,0.30915928
51,Atom6_6.52_Dist,0.30915928
52,Atom5_6.52_Dist,0.30915928
53,Atom1_6.52_Dist,0.30915928
54,Atom1_6.51_Dist,0.3007959
55,Atom5_6.51_Dist,0.3007959
56,Atom2_6.51_Dist,0.3007959
57,Atom3_6.51_Dist,0.3007959
58,Atom4_6.51_Dist,0.3007959
59,Atom6_6.51_Dist,0.3007959
60,Atom7_6.51_Dist,0.3007959
61,Atom8_6.51_Dist,0.3007959
62,Atom0_6.51_Dist,0.3007959
