Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,7.14285746216774,-0.19845296,Weaker,Weaker,1
BRE,0.0,-0.19431241,Weaker,Weaker,1
CAR,14.28571492433548,-0.15837497,Weaker,Weaker,1
LSD,28.57142984867096,-0.18291585,Weaker,Weaker,1
Lisu,46.42857015132904,-0.21535721,Weaker,Weaker,1
R10,80.35714030265808,-0.20678109,Weaker,Similar,0
ROT,85.71428656578064,-0.13953273,Weaker,Similar,0
S10,60.71428656578064,-0.2032322,Weaker,Weaker,1
S84,21.42857164144516,-0.49360827,Weaker,Weaker,1
UNC,78.57142686843872,-0.17284247,Weaker,Similar,0
