Rank,Feature,Mask_Value
1,ELF_H6_Axis_Cos,0.67197466
2,ELF_Anisotropy,0.66250855
3,Global_Cos_Angle,0.61014366
4,Lig_H6_Orientation,0.59683126
5,Atom7_6.52_Dist,0.59511477
6,Atom5_6.52_Dist,0.59511477
7,Atom4_6.52_Dist,0.59511477
8,Atom0_6.52_Dist,0.59511477
9,Atom6_6.52_Dist,0.59511477
10,Atom8_6.52_Dist,0.59511477
11,Atom3_6.52_Dist,0.59511477
12,Atom1_6.52_Dist,0.59511477
13,Atom2_6.52_Dist,0.59511477
14,Atom5_6.52_Angle,0.59301025
15,Atom4_6.52_Angle,0.59301025
16,Atom3_6.52_Angle,0.59301025
17,Atom6_6.52_Angle,0.59301025
18,Atom2_6.52_Angle,0.59301025
19,Atom1_6.52_Angle,0.59301025
20,Atom7_6.52_Angle,0.59301025
21,Atom8_6.52_Angle,0.59301025
22,Atom0_6.52_Angle,0.59301025
23,6.51_Global_Norm,0.59202504
24,6.51_Global_Sum,0.58040476
25,6.52_Global_Norm,0.5686869
26,6.51_Global_Max,0.5637549
27,6.52_Global_Sum,0.5458119
28,6.52_Global_Max,0.5366211
29,Atom5_6.51_Dist,0.52535176
30,Atom3_6.51_Dist,0.52535176
31,Atom1_6.51_Dist,0.52535176
32,Atom4_6.51_Dist,0.52535176
33,Atom2_6.51_Dist,0.52535176
34,Atom0_6.51_Dist,0.52535176
35,Atom6_6.51_Dist,0.52535176
36,Atom8_6.51_Dist,0.52535176
37,Atom7_6.51_Dist,0.52535176
38,Atom4_6.52_Score,0.48897734
39,Atom5_6.52_Score,0.48897734
40,Atom8_6.52_Score,0.48897734
41,Atom3_6.52_Score,0.48897734
42,Atom0_6.52_Score,0.48897734
43,Atom6_6.52_Score,0.48897734
44,Atom2_6.52_Score,0.48897734
45,Atom7_6.52_Score,0.48897734
46,Atom1_6.52_Score,0.48897734
47,Atom2_6.51_Angle,0.485274
48,Atom0_6.51_Angle,0.485274
49,Atom8_6.51_Angle,0.485274
50,Atom1_6.51_Angle,0.485274
51,Atom7_6.51_Angle,0.485274
52,Atom3_6.51_Angle,0.485274
53,Atom6_6.51_Angle,0.485274
54,Atom4_6.51_Angle,0.485274
55,Atom5_6.51_Angle,0.485274
56,Atom7_6.51_Score,0.4812272
57,Atom4_6.51_Score,0.4812272
58,Atom1_6.51_Score,0.4812272
59,Atom2_6.51_Score,0.4812272
60,Atom6_6.51_Score,0.4812272
61,Atom3_6.51_Score,0.4812272
62,Atom0_6.51_Score,0.4812272
63,Atom8_6.51_Score,0.4812272
64,Atom5_6.51_Score,0.4812272
