Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,7.14285746216774,-0.55309635,Weaker,Weaker,1
BRE,0.0,-0.8026588,Weaker,Weaker,1
CAR,14.28571492433548,-0.45294034,Weaker,Weaker,1
LSD,28.57142984867096,-0.74917996,Weaker,Weaker,1
Lisu,46.42857015132904,-0.6332879,Weaker,Weaker,1
R10,80.35714030265808,-0.8595537,Weaker,Similar,0
ROT,85.71428656578064,-0.38501674,Weaker,Similar,0
S10,60.71428656578064,-0.9958967,Weaker,Weaker,1
S84,21.42857164144516,-1.0003202,Weaker,Weaker,1
UNC,78.57142686843872,-0.5449234,Weaker,Similar,0
