Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,7.14285746216774,-0.56012434,Weaker,Weaker,1
BRE,0.0,-0.8263331,Weaker,Weaker,1
CAR,14.28571492433548,-0.4905698,Weaker,Weaker,1
LSD,28.57142984867096,-0.8470389,Weaker,Weaker,1
Lisu,46.42857015132904,-0.66620225,Weaker,Weaker,1
R10,80.35714030265808,-0.9094204,Weaker,Similar,0
ROT,85.71428656578064,-0.3647946,Weaker,Similar,0
S10,60.71428656578064,-0.9663683,Weaker,Weaker,1
S84,21.42857164144516,-1.1430956,Weaker,Weaker,1
UNC,78.57142686843872,-0.519999,Weaker,Similar,0
