Rank,Feature,Mask_Value
1,Global_Cos_Angle,0.52493435
2,6.51_Global_Norm,0.50175434
3,6.52_Global_Max,0.5005497
4,Lig_H6_Orientation,0.49922076
5,6.51_Global_Max,0.48178604
6,6.52_Global_Sum,0.47985363
7,6.52_Global_Norm,0.47305912
8,6.51_Global_Sum,0.47058257
9,Atom7_6.51_Score,0.37129793
10,Atom1_6.51_Score,0.37129793
11,Atom2_6.51_Score,0.37129793
12,Atom3_6.51_Score,0.37129793
13,Atom0_6.51_Score,0.37129793
14,Atom4_6.51_Score,0.37129793
15,Atom6_6.51_Score,0.37129793
16,Atom5_6.51_Score,0.37129793
17,Atom8_6.51_Score,0.37129793
18,Atom0_6.51_Angle,0.36099935
19,Atom7_6.51_Angle,0.36099935
20,Atom2_6.51_Angle,0.36099935
21,Atom3_6.51_Angle,0.36099935
22,Atom6_6.51_Angle,0.36099935
23,Atom4_6.51_Angle,0.36099935
24,Atom1_6.51_Angle,0.36099935
25,Atom8_6.51_Angle,0.36099935
26,Atom5_6.51_Angle,0.36099935
27,Atom4_6.52_Dist,0.35820156
28,Atom2_6.52_Dist,0.35820156
29,Atom3_6.52_Dist,0.35820156
30,Atom8_6.52_Dist,0.35820156
31,Atom7_6.52_Dist,0.35820156
32,Atom1_6.52_Dist,0.35820156
33,Atom6_6.52_Dist,0.35820156
34,Atom0_6.52_Dist,0.35820156
35,Atom5_6.52_Dist,0.35820156
36,Atom4_6.52_Score,0.3537754
37,Atom8_6.52_Score,0.3537754
38,Atom1_6.52_Score,0.3537754
39,Atom6_6.52_Score,0.3537754
40,Atom7_6.52_Score,0.3537754
41,Atom2_6.52_Score,0.3537754
42,Atom0_6.52_Score,0.3537754
43,Atom3_6.52_Score,0.3537754
44,Atom5_6.52_Score,0.3537754
45,Atom6_6.52_Angle,0.33624637
46,Atom3_6.52_Angle,0.33624637
47,Atom8_6.52_Angle,0.33624637
48,Atom2_6.52_Angle,0.33624637
49,Atom0_6.52_Angle,0.33624637
50,Atom5_6.52_Angle,0.33624637
51,Atom4_6.52_Angle,0.33624637
52,Atom1_6.52_Angle,0.33624637
53,Atom7_6.52_Angle,0.33624637
54,Atom1_6.51_Dist,0.3310232
55,Atom5_6.51_Dist,0.3310232
56,Atom2_6.51_Dist,0.3310232
57,Atom3_6.51_Dist,0.3310232
58,Atom4_6.51_Dist,0.3310232
59,Atom6_6.51_Dist,0.3310232
60,Atom7_6.51_Dist,0.3310232
61,Atom8_6.51_Dist,0.3310232
62,Atom0_6.51_Dist,0.3310232
